"","C14ID","Period","C14Age","C14SD","LabCode","PhaseCode","SiteID","Material","MaterialSpecies","Latitude","Longitude","optional"
"2758",8534,"EN",5080,70,"GrN-2310","ELSL1","S1824","charcoal","NULL",50.9486,5.775,TRUE
"2759",8535,"MN",4780,60,"GrN-4831","STEI1","S3872","charcoal","NULL",52,4.78,TRUE
"2761",8537,"MN",6030,75,"KN-2948","HB260","S2340","charcoal","NULL",50.9502,6.4183,TRUE
"2762",8538,"MN",5820,60,"KN-3050","JLW","S2341","charcoal","NULL",50.9502,6.4183,TRUE
"2763",8539,"MN",5810,65,"KN-2949","HB260","S2340","charcoal","NULL",50.9502,6.4183,TRUE
"2764",8540,"MN",5690,60,"KN-2951","JLW","S2341","charcoal","NULL",50.9502,6.4183,TRUE
"2766",8542,"EN",6370,60,"GrN-995","GE-H","S4367","charcoal","NULL",50.97,5.82,TRUE
"2767",8543,"EN",6175,60,"GrN-996","GE-H","S4367","charcoal","NULL",50.97,5.82,TRUE
"2768",8544,"EN",4790,70,"BM-1889","CRPN","S1597","animal bone","Bos sp.",50.9774,-1.1324,TRUE
"2771",8549,"UN",6130,45,"KIK-392 / UtC-3734","NULL","S4187","charcoal","NULL",50.79,5.03,TRUE
"2775",8553,"EN",5945,100,"Bln-73/73A","DRES1","S1749","plant macrofossils","Pisum sativum.",51,13.7833,TRUE
"2776",8554,"EN",5815,100,"Bln-77","DRES1","S1749","organic temper","NULL",51,13.7833,TRUE
"2777",8555,"LN",4065,80,"Bln-533","DORN1","S1739","charcoal","Quercus sp.",50.5,8.02,TRUE
"2778",8556,"LN",3827,60,"H-2123/1538","DORN1","S1739","charcoal","NULL",50.5,8.02,TRUE
"2782",8571,"UN",4540,105,"BM-254","NULL","S1376","charcoal","NULL",51.0167,0.9667,TRUE
"2783",8572,"UN",4510,103,"BM-505","NULL","S3137","antler","NULL",51.172,-1.825,TRUE
"2784",8573,"LN",4690,50,"Bln-3949","ERF2","S1840","bone","NULL",51.0224,10.992,TRUE
"2785",8574,"LN",4590,70,"Bln-3915","ERF2","S1840","bone","NULL",51.0224,10.992,TRUE
"2786",8575,"LN",4480,80,"Bln-3950","ERF2","S1840","bone","NULL",51.0224,10.992,TRUE
"2787",8576,"LN",3890,40,"KI-4142 / KIA2689","ERF1","S1840","human bone","Homo sapiens",51.0224,10.992,TRUE
"2794",8595,"EN",5932,100,"Bln-176","RHM1","S3449","wood","Quercus sp.",51.05,12.21,TRUE
"2804",8612,"EN",4730,135,"BM-348","AB","S1011","charcoal","NULL",51.68,-1.2613,TRUE
"2807",8618,"UN",5180,150,"BM-134","NULL","S1967","charcoal","Quercus sp.",51.091,-1.7272,TRUE
"2808",8619,"UN",5075,40,"OxA-13174","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2809",8620,"UN",5050,50,"GrA-28219","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2810",8621,"UN",5021,31,"OxA-12278","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2811",8622,"UN",4991,32,"OxA-12280","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2812",8623,"UN",4971,31,"OxA-12277","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2813",8624,"UN",4955,45,"GrA-23195","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2814",8625,"UN",4955,42,"OxA-13185","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2815",8626,"UN",4950,50,"GrA-23183","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2816",8627,"UN",4940,50,"GrA-28208","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2817",8628,"UN",4940,45,"GrA-28174","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2818",8629,"UN",4932,34,"OxA-13187","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2819",8630,"UN",4894,39,"OxA-13329","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2820",8631,"UN",4880,50,"GrA-28199","NULL","S1967","antler","Cervus elaphus",51.091,-1.7272,TRUE
"2821",8632,"UN",4880,50,"GrA-28218","NULL","S1967","antler","Cervus elaphus",51.091,-1.7272,TRUE
"2822",8633,"UN",4877,37,"OxA-13206","NULL","S1967","animal bone","Bos sp.",51.091,-1.7272,TRUE
"2823",8634,"UN",4865,39,"OxA-14480","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2824",8635,"UN",4860,50,"GrA-28290","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2825",8636,"UN",4859,35,"OxA-14458","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2826",8637,"UN",4857,31,"OxA-12279","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2827",8638,"UN",4851,37,"OxA-13205","NULL","S1967","antler","Cervus elaphus",51.091,-1.7272,TRUE
"2828",8639,"UN",4850,45,"GrA-28175","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2829",8640,"UN",4850,31,"OxA-12281","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2830",8641,"UN",4824,39,"OxA-13186","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2831",8642,"UN",4760,50,"GrA-28207","NULL","S1967","human bone","Homo sapiens",51.091,-1.7272,TRUE
"2832",8643,"UN",4757,39,"OxA-13326","NULL","S1967","animal bone","Bos sp.",51.091,-1.7272,TRUE
"2833",8644,"UN",4728,49,"OxA-13173","NULL","S1967","animal bone","Bos sp.",51.091,-1.7272,TRUE
"2850",8661,"EN",6310,75,"Lv-1116","WG","S4188","charcoal","NULL",50.78,5.03,TRUE
"2852",8666,"UN",5140,100,"Q-1102","NULL","S3914","wood","NULL",51.1585,-2.8266,TRUE
"2853",8667,"UN",5103,100,"Q-1103","NULL","S3914","wood","NULL",51.1585,-2.8266,TRUE
"2855",8671,"LN",4105,42,"Hd-16871","BUER","S2145","animal bone","Bos sp.",51.1749,9.3708,TRUE
"2856",8672,"LN",3848,47,"Hd-17123","BUER","S2145","animal bone","Bos sp.",51.1749,9.3708,TRUE
"2858",8674,"UN",4550,60,"OxA-4833","NULL","S3876","animal bone","Cervus elaphus",51.1789,-1.8262,TRUE
"2859",8675,"UN",4520,100,"OxA-4842","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2860",8676,"UN",4460,45,"OxA-4834","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2861",8677,"UN",4455,40,"OxA-4835","NULL","S3876","antler","Cervus elaphus",51.1789,-1.8262,TRUE
"2862",8678,"UN",4365,55,"OxA-4904","NULL","S3876","antler","Cervus elaphus",51.1789,-1.8262,TRUE
"2863",8679,"UN",4315,60,"OxA-4843","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2864",8680,"UN",4300,65,"OxA-4883","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2865",8681,"UN",4300,60,"OxA-4881","NULL","S3876","antler","Cervus elaphus",51.1789,-1.8262,TRUE
"2866",8682,"UN",4295,60,"OxA-4841","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2867",8683,"UN",4270,65,"OxA-4882","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2868",8684,"UN",4220,60,"OxA-4844","NULL","S3876","animal bone","Bos sp.",51.1789,-1.8262,TRUE
"2872",8688,"UN",4410,60,"BM-1583","NULL","S3876","animal bone","Cervus elaphus",51.1789,-1.8262,TRUE
"2873",8689,"UN",4390,60,"BM-1617","NULL","S3876","animal bone","Cervus elaphus",51.1789,-1.8262,TRUE
"2874",8690,"UN",4370,60,"Q-1037","NULL","S1402","wood","NULL",51.1789,-2.8685,TRUE
"2875",8700,"UN",4630,50,"BM-2565","NULL","S1365","charcoal","NULL",51.2066,-2.41,TRUE
"2878",8703,"UN",6250,50,"KIK-366 / UtC-3718","NULL","S4187","charcoal","NULL",50.79,5.03,TRUE
"2883",8711,"MN",5090,80,"KIK-47 / UtC-1352","HTD2","S2245","charcoal","NULL",51.25,4.29,TRUE
"2884",8712,"MN",4850,50,"IRPA-937","HTD2","S2245","charcoal","NULL",51.25,4.29,TRUE
"2894",8724,"EN",6160,70,"GrN-1581","ZWEN1","S4302","charcoal","NULL",51.23,12.35,TRUE
"2895",8725,"MN",6082,115,"H-224/223","ZWEN2","S4302","charcoal","NULL",51.23,12.35,TRUE
"2896",8726,"MN",5900,100,"Bln-66","ZWEN2","S4302","charcoal","NULL",51.23,12.35,TRUE
"2897",8727,"EN",5890,100,"Bln-817","ZWEN1","S4302","charcoal","Quercus sp.",51.23,12.35,TRUE
"2898",8728,"MN",5840,120,"K-555","ZWEN2","S4302","charcoal","NULL",51.23,12.35,TRUE
"2914",8791,"UN",6150,90,"KIK-352 / UtC-3678","NULL","S4187","charred plant macrofossils","Corylus avellana",50.79,5.03,TRUE
"2915",8798,"LN",4990,70,"IRPA-667","DONK1","S1733","wood","NULL",50.8428,3.6039,TRUE
"2973",8862,"LN",3868,40,"KN-4887","BILZ1","S1300","human bone","Homo sapiens",51.2806,11.0678,TRUE
"2974",8863,"LN",3789,59,"KN-4888","BILZ1","S1300","human bone","Homo sapiens",51.2806,11.0678,TRUE
"2975",8864,"LN",3700,60,"KN-4890","BILZ1","S1300","human bone","Homo sapiens",51.2806,11.0678,TRUE
"2976",8865,"LN",3648,52,"KN-4889","BILZ1","S1300","human bone","Homo sapiens",51.2806,11.0678,TRUE
"2987",8876,"UN",4800,55,"OxA-5865","NULL","S3300","tooth","Homo sapiens",51.2904,-2.8663,TRUE
"2988",8877,"UN",4680,150,"BM-49","NULL","S3157","charcoal","NULL",51.2439,-1.52719,TRUE
"2994",8888,"UN",4860,65,"OxA-5844","NULL","S2207","human bone","Homo sapiens",51.3195,-2.9458,TRUE
"2996",8890,"UN",4604,59,"BM-560","NULL","S2930","charcoal","NULL",51.3232,-1.8708,TRUE
"3001",8895,"EN",6300,70,"Lv-1339","PSL","S3320","bone","NULL",50.64,5.57,TRUE
"3008",8904,"EN",4535,65,"OxA-3762","EDLB","S1772","tooth","Cervus elaphus",51.3934,-1.908,TRUE
"3029",8925,"LN",4860,85,"OxA-4060","SRF","S3851","animal bone","Bos sp.",51.4032,-0.4518,TRUE
"3030",8926,"LN",4740,85,"OxA-4058","SRF","S3851","animal bone","Bos sp.",51.4032,-0.4518,TRUE
"3031",8927,"LN",4670,85,"OxA-4057","SRF","S3851","animal bone","Bos sp.",51.4032,-0.4518,TRUE
"3032",8928,"LN",4645,85,"OxA-4061","SRF","S3851","animal bone","Bos sp.",51.4032,-0.4518,TRUE
"3033",8929,"LN",4595,85,"OxA-4059","SRF","S3851","animal bone","Bos sp.",51.4032,-0.4518,TRUE
"3042",8941,"UN",4467,90,"BM-506b","NULL","S1255","antler","Cervus elaphus",51.4083,-1.9028,TRUE
"3043",8942,"UN",4257,90,"BM-506a","NULL","S1255","antler","Cervus elaphus",51.4083,-1.9028,TRUE
"3044",8943,"UN",4950,50,"GrA-23181","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3045",8944,"UN",4880,38,"OxA-13199","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3046",8945,"UN",4872,38,"OxA-13200","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3047",8946,"UN",4856,31,"OxA-12652","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3048",8947,"UN",4855,45,"GrA-23179","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3049",8948,"UN",4838,37,"OxA-13198","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3050",8949,"UN",4835,45,"GrA-23178","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3051",8950,"UN",4835,33,"OxA-12283","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3052",8951,"UN",4827,38,"OxA-13201","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3053",8952,"EN",4825,90,"OxA-449","WKLB","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3054",8953,"UN",4819,30,"OxA-12282","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3055",8954,"UN",4806,36,"OxA-13241","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3056",8955,"UN",4803,32,"OxA-12653","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3057",8956,"UN",4797,31,"OxA-12284","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3058",8957,"UN",4791,37,"OxA-13332","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3059",8958,"UN",4790,50,"GrA-23180","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3060",8959,"UN",4787,41,"OxA-13180","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3061",8960,"EN",4780,90,"OxA-451","WKLB","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3062",8961,"EN",4780,90,"OxA-563","WKLB","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3063",8962,"UN",4778,38,"OxA-13179","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3064",8963,"UN",4767,38,"OxA-13188","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3065",8964,"UN",4747,37,"OxA-13331","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3066",8965,"EN",4700,80,"OxA-450","WKLB","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3067",8966,"UN",4680,39,"OxA-13190","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3068",8967,"UN",4583,45,"OxA-13243","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3069",8968,"UN",4506,37,"OxA-13242","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3070",8969,"UN",4478,37,"OxA-13184","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3071",8970,"UN",4454,34,"OxA-13182","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3072",8971,"UN",4105,35,"OxA-13181","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3073",8972,"UN",4103,38,"OxA-13183","NULL","S5063","human bone","Homo sapiens",51.4086,-1.85111,TRUE
"3074",8973,"UN",3934,36,"OxA-13202","NULL","S5063","animal bone","Capra sp.",51.4086,-1.85111,TRUE
"3077",8976,"UN",4760,130,"BM-356","NULL","S3825","charcoal","NULL",51.4167,-1.8667,TRUE
"3078",8977,"UN",4700,135,"BM-357","NULL","S3825","animal bone","Bos sp.",51.4167,-1.8667,TRUE
"3079",8978,"UN",4620,140,"BM-358a","NULL","S3825","antler","Cervus elaphus",51.4167,-1.8667,TRUE
"3080",8979,"UN",4530,110,"BM-358b","NULL","S3825","animal bone","Cervus elaphus",51.4167,-1.8667,TRUE
"3083",8982,"LN",5350,100,"OxA-1158","SRF","S3851","antler","Cervus elaphus",51.4032,-0.4518,TRUE
"3089",8990,"EN",4715,90,"BM-493","CHILL","S1547","charcoal","NULL",51.4314,-1.9527,TRUE
"3090",8991,"EN",4620,90,"OxA-3169","MLB","S2997","human bone","Homo sapiens",51.4422,-1.85798,TRUE
"3091",8992,"EN",4480,80,"OxA-3198","MLB","S2997","human bone","Homo sapiens",51.4422,-1.85798,TRUE
"3098",8999,"UN",4600,90,"BM-2546","NULL","S3563","bone","NULL",51.4355,-0.5353,TRUE
"3105",9024,"MN",5310,60,"GrN-6021","BOSL1","S1342","charcoal","NULL",50.38,4.03,TRUE
"3106",9025,"EN",4900,110,"OxA-3172","MLB","S2997","human bone","Homo sapiens",51.4422,-1.85798,TRUE
"3107",9026,"EN",4750,120,"OxA-3171","MLB","S2997","human bone","Homo sapiens",51.4422,-1.85798,TRUE
"3108",9027,"EN",4630,100,"OxA-3170","MLB","S2997","antler","Cervus elaphus",51.4422,-1.85798,TRUE
"3110",9032,"EN",4585,75,"OxA-3576","HMF","S2259","wood","Betula sp.",51.4635,-0.5361,TRUE
"3111",9033,"EN",4520,80,"OxA-3578","HMF","S2259","food residue","NULL",51.4635,-0.5361,TRUE
"3112",9034,"EN",4390,75,"OxA-3577","HMF","S2259","wood","Betula sp.",51.4635,-0.5361,TRUE
"3113",9035,"EN",4320,120,"OxA-3008","HMF","S2259","wood","NULL",51.4635,-0.5361,TRUE
"3114",9036,"UN",4659,52,"BM-1112","NULL","S3179","charcoal","NULL",51.4674,-3.6371,TRUE
"3115",9037,"UN",4320,80,"HAR-1140","NULL","S3179","charred plant macrofossils","Corylus avellana",51.4674,-3.6371,TRUE
"3117",9039,"UN",3300,80,"OxA-2022","NULL","S1091","NULL","NULL",51.5011,-0.1513,TRUE
"3121",9053,"UN",3850,70,"OxA-2020","NULL","S1091","antler","Cervus elaphus",51.5011,-0.1513,TRUE
"3122",9054,"UN",3800,80,"OxA-2021","NULL","S1091","antler","Cervus elaphus",51.5011,-0.1513,TRUE
"3128",9061,"UN",4410,60,"GU-4407","NULL","S3771","wood","Alnus sp.",51.5022,-1.8939,TRUE
"3130",9063,"UN",4140,70,"OxA-2024","NULL","S1091","antler","Cervus elaphus",51.5011,-0.1513,TRUE
"3134",9067,"LN",4602,110,"H-253/208","DH","S2177","wood","NULL",51.49,11.899,TRUE
"3135",9068,"LN",4390,85,"Bln-1856","DH","S2177","wood","NULL",51.49,11.899,TRUE
"3136",9069,"LN",4380,100,"Bln-838A","DH","S2177","charcoal","NULL",51.49,11.899,TRUE
"3137",9070,"LN",4340,100,"Bln-912","DH","S2177","charcoal","NULL",51.49,11.899,TRUE
"3138",9071,"LN",4290,70,"KN-I.424A","DH2","S2177","charcoal","NULL",51.49,11.899,TRUE
"3139",9072,"LN",4192,75,"H-572/919","DH1","S2177","wood","NULL",51.49,11.899,TRUE
"3140",9073,"LN",4105,100,"Bln-838","DH","S2177","charcoal","NULL",51.49,11.899,TRUE
"3141",9074,"LN",3940,100,"Bln-65","DH1","S2177","wood","NULL",51.49,11.899,TRUE
"3153",9087,"UN",4955,45,"OxA-7693","NULL","S2597","human bone","Homo sapiens",51.5481,-1.5341,TRUE
"3154",9088,"UN",4915,45,"OxA-7694","NULL","S2597","human bone","Homo sapiens",51.5481,-1.5341,TRUE
"3155",9089,"UN",4395,65,"OxA-7899","NULL","S2597","human bone","Homo sapiens",51.5481,-1.5341,TRUE
"3159",9093,"UN",4880,35,"OxA-10649","NULL","S3445","human bone","Homo sapiens",51.553,-4.257,TRUE
"3161",9095,"UN",4830,40,"OxA-3815","NULL","S3834","human bone","Homo sapiens",51.5658,-4.09773,TRUE
"3170",9104,"UN",4830,90,"OxA-1432","NULL","S4216","charcoal","Quercus sp.",51.5647,-0.1877,TRUE
"3171",9105,"UN",4810,90,"OxA-1434","NULL","S4216","charcoal","Quercus sp.",51.5647,-0.1877,TRUE
"3172",9106,"UN",4770,100,"OxA-1435","NULL","S4216","charcoal","Quercus sp.",51.5647,-0.1877,TRUE
"3173",9107,"UN",4710,90,"OxA-1433","NULL","S4216","charcoal","Quercus sp.",51.5647,-0.1877,TRUE
"3175",9111,"UN",4672,49,"BM-1405","NULL","S3141","antler","Cervus elaphus",51.5655,-1.1184,TRUE
"3176",9112,"EN",4817,39,"OxA-13330","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3177",9113,"EN",4812,35,"OxA-14769","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3178",9114,"EN",4809,44,"OxA-13176","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3179",9115,"EN",4808,38,"OxA-14471","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3180",9116,"EN",4802,35,"OxA-14770","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3181",9117,"EN",4791,40,"OxA-13170","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3182",9118,"EN",4787,34,"OxA-14772","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3183",9119,"EN",4779,40,"KIA-27624","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3184",9120,"EN",4770,130,"I-1468","WAY","S4210","charcoal","NULL",51.5664,-1.5958,TRUE
"3185",9121,"EN",4770,38,"OxA-13245","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3186",9122,"EN",4761,41,"OxA-13171","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3187",9123,"EN",4750,32,"KIA-27623","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3188",9124,"EN",4749,38,"OxA-13203","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3189",9125,"EN",4749,34,"OxA-14771","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3190",9126,"EN",4717,45,"OxA-13175","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3191",9127,"EN",4714,36,"KIA-27626","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3192",9128,"EN",4713,37,"KIA-27625","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3193",9129,"EN",4707,40,"OxA-13325","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3194",9130,"EN",4683,39,"OxA-13244","WAY","S4210","antler","Cervus elaphus",51.5664,-1.5958,TRUE
"3195",9131,"EN",4649,71,"OxA-13167","WAY","S4210","antler","Cervus elaphus",51.5664,-1.5958,TRUE
"3196",9132,"EN",4634,45,"OxA-13169","WAY","S4210","antler","Cervus elaphus",51.5664,-1.5958,TRUE
"3197",9133,"EN",4603,35,"OxA-13246","WAY","S4210","human bone","Homo sapiens",51.5664,-1.5958,TRUE
"3198",9134,"EN",4547,54,"OxA-13168","WAY","S4210","antler","Cervus elaphus",51.5664,-1.5958,TRUE
"3206",9143,"EN",4875,55,"OxA-6493","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3207",9144,"EN",4850,65,"OxA-6496","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3208",9145,"EN",4805,55,"OxA-6492","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3209",9146,"EN",4780,60,"OxA-6488","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3210",9147,"EN",4710,60,"OxA-6491","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3211",9148,"EN",4685,65,"OxA-6487","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3212",9149,"EN",4660,60,"OxA-6490","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3213",9150,"EN",4645,60,"OxA-6494","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3214",9151,"EN",4445,60,"OxA-6489","PLB","S3251","human bone","Homo sapiens",51.5878,-4.1118,TRUE
"3215",9152,"EN",5320,40,"GrN-6215","HD1","S4381","peat","NULL",51.867,4.833,TRUE
"3216",9153,"MN",4935,40,"GrN-6214","HD2","S4381","peat","NULL",51.867,4.833,TRUE
"3217",9154,"LN",4480,40,"GrN-6213","HD4","S4381","peat","NULL",51.867,4.833,TRUE
"3218",9155,"LN",4290,40,"GrN-5175","HD4","S4381","peat","NULL",51.867,4.833,TRUE
"3224",9162,"UN",4560,90,"OxA-7739","NULL","S3092","human bone","Homo sapiens",51.6409,-4.68108,TRUE
"3225",9163,"UN",4520,65,"OxA-7740","NULL","S3092","human bone","Homo sapiens",51.6409,-4.68108,TRUE
"3236",9174,"UN",4940,80,"OxA-2075","NULL","S1748","charcoal","Quercus sp.",51.67,-1.13,TRUE
"3237",9175,"UN",4810,70,"OxA-2701","NULL","S1748","wood","NULL",51.67,-1.13,TRUE
"3238",9176,"UN",4800,100,"OxA-2073","NULL","S1748","charcoal","NULL",51.67,-1.13,TRUE
"3239",9177,"UN",4620,80,"OxA-2074","NULL","S1748","charcoal","NULL",51.67,-1.13,TRUE
"3240",9178,"UN",4220,80,"OxA-2076","NULL","S1748","charcoal","Quercus sp.",51.67,-1.13,TRUE
"3242",9180,"UN",4930,80,"OxA-3304","NULL","S2822","human bone","Homo sapiens",51.6656,-4.7318,TRUE
"3243",9181,"UN",4880,90,"OxA-3306","NULL","S2822","human bone","Homo sapiens",51.6656,-4.7318,TRUE
"3244",9182,"UN",4750,75,"OxA-3305","NULL","S2822","human bone","Homo sapiens",51.6656,-4.7318,TRUE
"3245",9183,"UN",4660,80,"OxA-3303","NULL","S2822","human bone","Homo sapiens",51.6656,-4.7318,TRUE
"3246",9184,"UN",4950,45,"OxA-10647","NULL","S3387","human bone","Homo sapiens",51.6667,-4.9167,TRUE
"3247",9185,"UN",4500,60,"BM-2392","NULL","S1223","animal bone","Cervus elaphus",51.6811,-1.25507,TRUE
"3248",9186,"UN",4420,70,"BM-2393","NULL","S1223","animal bone","Cervus elaphus",51.6811,-1.25507,TRUE
"3249",9187,"UN",4330,80,"BM-2391","NULL","S1223","animal bone","Cervus elaphus",51.6811,-1.25507,TRUE
"3250",9188,"UN",4320,130,"BM-2390","NULL","S1223","animal bone","Cervus elaphus",51.6811,-1.25507,TRUE
"3253",9191,"UN",4650,80,"OxA-1882","NULL","S1223","human bone","Homo sapiens",51.6811,-1.25507,TRUE
"3254",9192,"UN",4150,70,"OxA-1878","NULL","S1223","bone","NULL",51.6811,-1.25507,TRUE
"3255",9193,"UN",4700,100,"OxA-4359","NULL","S1223","human bone","Homo sapiens",51.6811,-1.25507,TRUE
"3256",9194,"LN",4410,60,"GrN-1577","HAAB","S2161","charcoal","NULL",51.6833,3.7167,TRUE
"3262",9208,"LN",4426,35,"Hd-18962","PRE1","S3382","human bone","Homo sapiens",51.7414,11.8149,TRUE
"3275",9224,"LN",3660,35,"GrN-6145","STWK2","S3848","charcoal","NULL",51.7861,5.7936,TRUE
"3277",9226,"LN",4200,120,"GrN-254","HEKL1","S2221","charcoal","NULL",51.8261,4.3419,TRUE
"3278",9227,"LN",4080,85,"GrN-684","HEKL1","S2221","bone","NULL",51.8261,4.3419,TRUE
"3285",9234,"EN",5385,45,"GrN-8241","HD1","S4381","peat","NULL",51.867,4.833,TRUE
"3286",9235,"EN",5330,35,"GrN-8240","HD1","S4381","peat","NULL",51.867,4.833,TRUE
"3287",9239,"MN",5080,70,"GrN-8242","HD2","S4381","peat","NULL",51.867,4.833,TRUE
"3288",9241,"MN",4995,35,"GrN-8349","HD2","S4381","peat","NULL",51.867,4.833,TRUE
"3291",9248,"MN",4400,60,"GrN-9190","HD3","S4381","wood","NULL",51.867,4.833,TRUE
"3297",9254,"EN",5222,31,"OxA-13318","AUW","S1127","animal bone","Canis familiaris",51.8561,-1.56584,TRUE
"3298",9255,"EN",5130,45,"GrA-27102","AUW","S1127","antler","Cervus elaphus",51.8561,-1.56584,TRUE
"3299",9256,"EN",5105,45,"GrA-23933","AUW","S1127","animal bone","Sus scrofa",51.8561,-1.56584,TRUE
"3300",9257,"EN",5100,45,"GrA-27093","AUW","S1127","animal bone","Ovis sp./Capra sp.",51.8561,-1.56584,TRUE
